author(s),publisher,keywords,title,publicationYear,publisher_categories
"nicholas
a. arnet; thomas r. dugan; fabian s. menges; brandon q. mercado; william w. brennessel; eckhard bill; mark a. johnson; patrick l. holland",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"synthesis,
characterization, and nitrogenase-relevant
reactions of an iron sulfide complex with a bridging hydride",2015,scientific
"chi chen; maxwell
b. hecht; aydin kavara; william w. brennessel; brandon q. mercado; daniel j. weix; patrick l. holland",american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"rapid,
regioconvergent, solvent-free alkene hydrosilylation
with a cobalt catalyst",2015,scientific
jacob a. przyojski; monica l. kiewit; kathlyn l. fillman; hadi d. arman; zachary j. tonzetich,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"homoleptic transition metal complexes of the 7‑azaindolide
ligand featuring κ<sup>1</sup>‑n1 coordination",2015,scientific
xing qiu; shuang wu; shannon p. hilchey; juilee thakar; zhi-ping liu; stephen l. welle; alicia d. henn; hulin wu; martin s. zand,public library of science,31 biological sciences; 32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences; 3207 medical microbiology,diversity in compartmental dynamics of gene regulatory networks: the immune response in primary influenza a infection in mice,2015,scientific
lloyd munjanja; william w. brennessel; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"mechanistic insights in the exchange of arylthiolate
groups in aryl(arylthiolato)palladium complexes supported by a dippe
ligand",2015,scientific
wathsala liyanage; william w. brennessel; bradley l. nilsson,american chemical society,34 chemical sciences; 34 chemical sciences; 3403 macromolecular and materials chemistry,"spontaneous transition of self-assembled hydrogel
fibrils into crystalline microtubes enables a rational strategy to
stabilize the hydrogel state",2015,scientific
"stephanie
l. daifuku; jared l. kneebone; benjamin e. r. snyder; michael l. neidig",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry,"iron(ii)
active species in iron–bisphosphine
catalyzed kumada and suzuki–miyaura cross-couplings of phenyl
nucleophiles and secondary alkyl halides",2015,scientific
"zhenwu ouyang; jingzhen du; lei wang; jared
l. kneebone; michael l. neidig; liang deng",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"linear and t‑shaped iron(i) complexes supported
by n‑heterocyclic carbene ligands: synthesis and structure
characterization",2015,scientific
margaret m. demment; karen peters; j. andrew dykens; ann dozier; haq nawaz; scott mcintosh; jennifer s. smith; angela sy; tracy irwin; thomas t. fogg; mahmooda khaliq; rachel blumenfeld; mehran massoudi; timothy de ver dye,public library of science,32 biomedical and clinical sciences; 42 health sciences; 42 health sciences; 4203 health services and systems,developing the evidence base to inform best practice: a scoping study of breast and cervical cancer reviews in low- and middle-income countries,2015,scientific
michael b. geary; caitlin a. orner; fatima bawany; hani a. awad; warren c. hammert; regis j. o’keefe; alayna e. loiselle,public library of science,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,systemic ep4 inhibition increases adhesion formation in a murine model of flexor tendon repair,2015,scientific
"malik
h. al-afyouni; elizaveta suturina; shubhrodeep pathak; mihail atanasov; eckhard bill; daniel e. derosha; william w. brennessel; frank neese; patrick l. holland",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"spin
isomers and ligand isomerization in a three-coordinate
cobalt(i) carbonyl complex",2015,scientific
"sarina
m. bellows; thomas r. cundari; william d. jones",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3407 theoretical and computational chemistry,methane is the best substrate for c(sp<sup>3</sup>)–h activation with cp*(pme<sub>3</sub>)co(me)(otf): a density functional theory study,2015,scientific
mark a. miller; catherine j. o’leary; paul d. allen; benjamin t. crane,public library of science,0,demographic data for experiments 1–3.,2015,scientific
linda rasubala; lavanya pernapati; ximena velasquez; james burk; yan-fang ren,public library of science,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3203 dentistry,"frequencies of visit types, treatment procedures and prescriptions for dental emergency patients before and after implementation of the mandatory pdmp.",2015,scientific
amali p. epa; thomas h. thatcher; stephen j. pollock; lindsay a. wahl; elizabeth lyda; r. m. kottmann; richard p. phipps; patricia j. sime,public library of science,44 human society; 44 human society; 4407 policy and administration,"in accordance with the plos one policy on data availability, the raw data for the figures included in this report are located in an online data supplement s1 dataset.",2015,scientific
joseph bucukovski; neus latorre-margalef; david e. stallknecht; benjamin l. miller,public library of science,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences; 3207 medical microbiology,a multiplex label-free approach to avian influenza surveillance and serology,2015,scientific
qian zhang; jing  wang; fang deng; zhengjian yan; yinglin xia; zhongliang wang; jixing ye; youlin deng; zhonglin zhang; min qiao; ruifang li; sahitya k. denduluri; qiang wei; lianggong zhao; shun lu; xin wang; shengli tang; hao liu; hue h. luu; rex c. haydon; tong-chuan he; li jiang,public library of science,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology,tqpcr: a touchdown qpcr assay with significantly improved detection sensitivity and amplification efficiency of sybr green qpcr,2015,scientific
"aaron
p. walsh; william d. jones",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"mechanistic insights of a concerted metalation–deprotonation
reaction with cp*rhcl<sub>2</sub><sub>2</sub>",2015,scientific
caleb e. strait; brianna j. sleezer; benjamin y. hayden,public library of science,32 biomedical and clinical sciences; 52 psychology; 52 psychology; 5202 biological psychology; 5204 cognitive and computational psychology,signatures of value comparison in ventral striatum neurons,2015,scientific
ahmet gunay; william w. brennessel; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"investigation of c–c bond activation of sp–sp<sup>2</sup> c–c bonds of acetylene derivatives via photolysis
of pt complexes",2015,scientific
ingmar kanitscheider; ruben coen-cagli; adam kohn; alexandre pouget,public library of science,32 biomedical and clinical sciences; 3209 neurosciences; 46 information and computing sciences; 46 information and computing sciences; 4611 machine learning,measuring fisher information accurately in correlated neural populations,2015,scientific
simon j. bonyhady; jonathan m. goldberg; nicole wedgwood; thomas r. dugan; andrew g. eklund; william w. brennessel; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,cobalt(ii) complex of a diazoalkane radical anion,2015,scientific
kenny schlosser; lauralyn a. mcintyre; r. james white; duncan j. stewart,public library of science,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,customized internal reference controls for improved assessment of circulating micrornas in disease,2015,scientific
nisa m. maruthur; susan m. joy; james g. dolan; hasan m. shihab; sonal singh,public library of science,42 health sciences; 4203 health services and systems; 46 information and computing sciences,use of the analytic hierarchy process for medication decision-making in type 2 diabetes,2015,scientific
"burkhard butschke; kathlyn l. fillman; tatyana bendikov; linda
j. w. shimon; yael diskin-posner; gregory leitus; serge i. gorelsky; michael l. neidig; david milstein",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"how innocent are potentially redox non-innocent ligands?
electronic structure and metal oxidation states in iron-pnn complexes
as a representative case study",2015,scientific
yunzhe jiao; william w. brennessel; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry,"oxidative addition of chlorohydrocarbons to a rhodium
tris(pyrazolyl)borate complex",2015,scientific
anthony j. geneva; christina a. muirhead; sarah b. kingan; daniel garrigan,public library of science,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,a new method to scan genomes for introgression in a secondary contact model,2015,scientific
xin bi; qun yu; jasmine siler; chong li; ali khan,public library of science,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,functions of fun30 chromatin remodeler in regulating cellular resistance to genotoxic stress,2015,scientific
francesco martoni; danna g. eickbush; claudia scavariello; andrea luchetti; barbara mantovani,public library of science,31 biological sciences; 34 chemical sciences; 3402 inorganic chemistry,list of the primers used for obtaining dna templates for t7 co-transcription/cleavage reactions.,2015,scientific
jia guo; hongwei yao; xin lin; haodong xu; david dean; zhou zhu; gang liu; patricia sime,public library of science,31 biological sciences; 3101 biochemistry and cell biology; 32 biomedical and clinical sciences,il-13 induces yy1 through the akt pathway in lung fibroblasts,2015,scientific
yang zhao; daniel j. weix,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry,"enantioselective
cross-coupling of <i>meso</i>-epoxides with aryl halides",2015,scientific
"amit das; zhiji han; william w. brennessel; patrick
l. holland; richard eisenberg",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"nickel complexes for robust light-driven and electrocatalytic
hydrogen production from water",2015,scientific
"brennessel, w.w.; ellis, j.e.",the cambridge structural database,0,ccdc 1049452: experimental crystal structure determination,2015,scientific
"arnet, nicholas a.; dugan, thomas r.; menges, fabian s.; mercado, brandon q.; brennessel, william w.; bill, eckhard; johnson, mark a.; holland, patrick l.",the cambridge structural database,0,ccdc 1434122: experimental crystal structure determination,2015,scientific
"al-afyouni, malik h.; krishnan, v. mahesh; arman, hadi d.; tonzetich, zachary j.",the cambridge structural database,0,ccdc 1433877: experimental crystal structure determination,2015,scientific
"butschke, burkhard; fillman, kathlyn l.; bendikov, tatyana; shimon, linda j. w.; diskin-posner, yael; leitus, gregory; gorelsky, serge i.; neidig, michael l.; milstein, david",the cambridge structural database,0,ccdc 1404240: experimental crystal structure determination,2015,scientific
"kraft, b.m.; brennessel, w.w.; ryan, a.e.; benjamin, c.k.",the cambridge structural database,0,ccdc 1438047: experimental crystal structure determination,2015,scientific
"bonyhady, simon; goldberg, jonathan; wedgwood, nicole; brennessel, william; eklund, andrew; dugan, thomas; holland, patrick",the cambridge structural database,0,ccdc 1040300: experimental crystal structure determination,2015,scientific
"ramakrishnan, srinivasan; chakraborty, sumit; brennessel, william w.; chidsey, christopher e. d.; jones, william d.",the cambridge structural database,0,ccdc 1418630: experimental crystal structure determination,2015,scientific
